ADRESSEID;fylke;kommune;BYGNINGSTYPE;Lat;Lon
51193238;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3027166043505;4.89191550022065
51193083;ROGALAND;UTSIRA;111-Enebolig;59.3107351091847;4.88685652996153
51193122;ROGALAND;UTSIRA;111-Enebolig;59.301176459803;4.88912164925115
51193150;ROGALAND;UTSIRA;111-Enebolig;59.2986491883689;4.89058697647943
51193208;ROGALAND;UTSIRA;823-Fyrstasjon losstasjon;59.3065848543474;4.87282977149541
550586378;ROGALAND;UTSIRA;111-Enebolig;59.2979667793883;4.89192375785016
551531388;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2993721102164;4.8950763204145
553566492;ROGALAND;UTSIRA;211-Fabrikkbygning;59.3121544829909;4.8859174242197
51193100;ROGALAND;UTSIRA;111-Enebolig;59.3016577568876;4.90092014406053
51193106;ROGALAND;UTSIRA;113-Våningshus;59.3040180726706;4.89212696839086
51193131;ROGALAND;UTSIRA;111-Enebolig;59.2994516427992;4.89285869508925
51193143;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2978812732303;4.8912948118471
51193152;ROGALAND;UTSIRA;111-Enebolig;59.2966567250861;4.890794979121
51193113;ROGALAND;UTSIRA;111-Enebolig;59.3018938197018;4.89423223302477
51193115;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.301344346605;4.89195527056752
51193117;ROGALAND;UTSIRA;111-Enebolig;59.3015414903071;4.89216157451501
51193133;ROGALAND;UTSIRA;111-Enebolig;59.2998438586879;4.89093655021279
51193214;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.302266581275;4.90765582120944
551562608;ROGALAND;UTSIRA;212-Verkstedbygning;59.3067412913486;4.8725173358474
51193081;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.306692497164;4.88688353574057
51193154;ROGALAND;UTSIRA;111-Enebolig;59.2987109232575;4.88572095483808
51193157;ROGALAND;UTSIRA;111-Enebolig;59.3035552465438;4.88253387145851
51193213;ROGALAND;UTSIRA;161-Fritidsbygg(hyttersommerh. ol;59.2973547648709;4.89196564708959
51193173;ROGALAND;UTSIRA;113-Våningshus;59.309687301662;4.88653375584364
51193179;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3078699934553;4.890706695587
